aX,aY,aZ,gX,gY,gZ
0.376,-1.430,0.715,-9.888,21.484,90.942
0.375,-1.472,0.782,-11.902,24.719,95.703
0.389,-1.554,0.798,-14.893,30.029,100.403
0.384,-1.530,0.710,-23.376,38.391,110.657
0.347,-1.420,0.616,-33.325,44.312,123.657
0.351,-1.304,0.606,-41.931,45.044,133.728
0.339,-1.240,0.620,-46.997,46.082,138.794
0.342,-1.220,0.600,-46.509,50.476,141.052
0.368,-1.260,0.585,-49.011,55.054,143.616
0.376,-1.391,0.587,-55.603,58.472,146.729
0.391,-1.463,0.528,-60.669,64.148,155.884
0.400,-1.390,0.473,-66.772,68.604,172.485
0.398,-1.187,0.513,-69.580,69.153,191.101
0.413,-0.929,0.614,-69.153,70.618,205.139
0.450,-0.712,0.656,-65.247,78.003,209.351
0.498,-0.661,0.638,-58.594,87.708,203.491
0.515,-0.683,0.661,-59.753,94.971,196.533
0.534,-0.729,0.693,-66.589,102.539,193.481
0.498,-0.815,0.608,-75.378,114.746,191.956
0.438,-0.770,0.409,-80.139,127.747,196.472
0.402,-0.542,0.178,-81.787,134.888,205.017
0.418,-0.353,-0.041,-82.153,133.606,205.566
0.507,-0.429,-0.089,-78.430,123.291,193.176
0.562,-0.762,0.114,-72.937,106.628,179.810
0.595,-0.976,0.242,-75.378,101.501,184.143
0.580,-0.916,0.165,-80.872,108.521,204.407
0.528,-0.678,0.108,-83.252,113.037,226.379
0.494,-0.321,0.155,-80.139,112.610,242.249
0.483,-0.024,0.176,-77.148,114.075,244.446
0.490,0.096,0.176,-73.608,117.249,233.032
0.529,0.085,0.201,-75.195,118.408,216.370
0.527,0.036,0.164,-80.750,121.948,202.576
0.540,0.087,0.054,-83.496,127.869,196.350
0.544,0.228,-0.081,-80.750,132.080,192.505
0.573,0.294,-0.140,-73.853,131.470,183.472
0.601,0.244,-0.055,-66.406,126.282,171.326
0.609,0.133,0.016,-62.073,124.817,162.476
0.607,0.085,-0.005,-61.768,129.395,160.278
-0.264,0.863,-1.500,-1.709,-28.198,-4.578
-0.271,0.929,-1.526,-0.793,-34.851,-10.437
-0.261,1.012,-1.543,1.038,-41.626,-17.822
-0.245,0.965,-1.528,4.456,-50.781,-30.334
-0.225,0.873,-1.525,5.066,-60.913,-42.053
-0.206,0.847,-1.470,2.075,-72.754,-48.462
-0.201,0.831,-1.414,-2.075,-84.412,-53.772
-0.217,0.779,-1.402,-5.188,-94.055,-60.242
-0.243,0.751,-1.399,-7.690,-103.027,-65.308
-0.260,0.772,-1.405,-7.507,-111.755,-69.336
-0.274,0.771,-1.422,-3.174,-119.751,-75.684
-0.285,0.748,-1.415,4.944,-128.235,-83.984
-0.275,0.772,-1.382,14.648,-137.512,-91.553
-0.253,0.781,-1.318,25.208,-146.301,-100.403
-0.220,0.731,-1.213,33.203,-155.090,-111.694
-0.190,0.673,-1.113,35.950,-162.659,-121.338
-0.155,0.663,-1.055,33.020,-168.823,-127.869
-0.145,0.632,-0.979,31.189,-176.147,-134.949
-0.139,0.527,-0.848,28.687,-184.814,-143.372
-0.128,0.372,-0.734,22.827,-190.552,-149.963
-0.105,0.239,-0.687,14.526,-192.139,-150.696
-0.088,0.164,-0.704,8.240,-191.589,-146.545
-0.077,0.183,-0.744,7.263,-191.833,-139.587
-0.076,0.259,-0.702,13.306,-195.801,-134.399
-0.074,0.284,-0.580,21.057,-201.904,-135.132
-0.068,0.315,-0.470,26.367,-205.627,-139.282
-0.051,0.393,-0.383,26.733,-206.665,-144.226
-0.054,0.425,-0.266,22.644,-208.130,-153.137
-0.061,0.390,-0.216,13.367,-207.642,-164.978
-0.075,0.357,-0.255,1.160,-206.299,-175.598
-0.079,0.245,-0.217,-8.240,-210.266,-185.425
-0.057,0.004,-0.057,-14.343,-219.482,-195.129
-0.001,-0.313,0.125,-19.409,-224.854,-198.975
0.054,-0.586,0.245,-21.240,-222.351,-191.711
0.121,-0.689,0.250,-17.151,-211.426,-172.485
0.177,-0.620,0.188,-8.850,-198.303,-148.743
0.209,-0.496,0.128,6.042,-187.439,-129.578
0.225,-0.374,0.118,21.851,-181.213,-118.042
0.229,-0.267,0.151,33.630,-177.673,-112.488
0.218,-0.208,0.180,38.940,-174.194,-111.938
0.202,-0.083,0.144,38.879,-170.227,-112.854
0.187,-0.033,0.097,35.217,-168.640,-118.896
0.170,-0.019,0.163,30.273,-172.791,-127.991
0.189,-0.037,0.291,23.682,-177.246,-136.780
0.216,-0.162,0.407,17.334,-177.124,-146.729
0.263,-0.381,0.538,14.587,-173.889,-154.480
0.308,-0.559,0.583,12.085,-164.551,-154.358
0.362,-0.697,0.502,11.108,-150.330,-147.034
0.373,-0.788,0.390,15.808,-139.282,-135.620
0.390,-0.751,0.272,23.560,-132.812,-119.995
0.413,-0.599,0.196,36.011,-131.836,-104.919
0.417,-0.559,0.263,44.189,-135.803,-98.145
0.446,-0.529,0.351,43.091,-137.695,-94.116
0.497,-0.448,0.440,37.109,-135.620,-89.417
0.533,-0.396,0.488,29.175,-130.249,-86.670
0.543,-0.364,0.435,20.142,-122.498,-85.205
0.525,-0.287,0.342,7.935,-116.882,-82.642
0.530,-0.222,0.265,-4.150,-116.760,-82.520
0.520,-0.324,0.249,-12.390,-120.972,-88.074
0.547,-0.500,0.272,-14.832,-125.610,-93.201
0.574,-0.612,0.374,-14.648,-128.540,-90.149
0.578,-0.645,0.379,-10.193,-125.305,-81.970
0.561,-0.638,0.328,-5.127,-119.812,-73.486
0.543,-0.636,0.348,-0.427,-118.225,-66.467
0.518,-0.638,0.372,5.737,-117.798,-60.486
0.505,-0.603,0.391,7.385,-116.150,-54.565
0.526,-0.544,0.396,8.240,-115.173,-49.622
0.535,-0.493,0.434,7.324,-115.356,-46.570
0.498,-0.476,0.534,3.723,-116.882,-44.739
0.473,-0.418,0.609,-1.160,-114.685,-42.786
0.451,-0.402,0.708,-6.592,-110.962,-43.579
0.445,-0.472,0.809,-7.874,-106.628,-48.096
0.431,-0.525,0.850,-7.385,-99.182,-50.720
0.427,-0.553,0.823,-3.723,-91.125,-51.392
0.405,-0.604,0.803,4.517,-85.999,-53.040
0.417,-0.672,0.870,18.921,-84.839,-55.603
0.442,-0.753,0.996,35.461,-85.022,-57.373
0.485,-0.824,1.140,45.471,-82.825,-57.251
0.524,-0.919,1.241,52.673,-77.209,-55.542
0.562,-1.020,1.321,50.171,-70.007,-51.453
0.547,-1.017,1.377,48.218,-61.707,-42.847
0.606,-1.099,1.298,43.640,-52.917,-34.790
0.620,-1.069,1.438,-18.066,-47.180,-23.193
0.634,-1.147,1.425,-47.791,-34.973,-14.832
0.646,-1.197,1.323,-51.575,-20.630,-5.066
0.640,-1.105,1.293,-49.561,-11.536,10.620
0.626,-1.008,1.283,-35.339,-4.089,22.888
0.650,-1.044,1.262,-11.963,4.822,27.893
0.656,-1.139,1.312,4.517,12.756,32.776
0.656,-1.125,1.356,10.193,23.010,44.006
0.676,-1.075,1.296,5.066,37.476,56.946
0.709,-1.098,1.257,-9.521,49.377,66.650
0.719,-1.059,1.308,-24.231,56.396,78.064
0.717,-1.021,1.318,-35.522,65.369,89.050
0.704,-1.013,1.329,-44.617,74.280,97.229
0.675,-1.029,1.301,-50.903,83.374,103.638
0.658,-0.999,1.263,-55.481,91.553,110.413
0.670,-0.965,1.191,-59.692,98.206,115.845
0.711,-1.098,1.172,-59.509,102.966,116.516
0.726,-1.278,1.254,-55.298,105.286,119.446
0.699,-1.210,1.216,-51.392,113.892,135.254
0.644,-0.930,1.145,-49.316,123.840,155.151
0.619,-0.683,1.083,-49.866,130.676,164.856
0.603,-0.605,1.010,-54.138,134.888,162.354
0.581,-0.604,0.947,-62.561,137.634,156.799
0.607,-0.570,0.930,-70.068,139.282,154.663
0.641,-0.519,0.846,-77.820,144.165,154.419
0.631,-0.467,0.762,-82.031,150.085,153.564
0.632,-0.273,0.648,-78.918,155.884,155.151
0.668,-0.150,0.592,-76.355,158.447,152.039
0.676,-0.139,0.579,-73.486,159.180,142.090
0.677,-0.111,0.540,-67.932,163.513,134.644
0.700,-0.127,0.528,-62.317,167.603,128.113
0.694,-0.146,0.502,-59.387,171.509,121.765
0.697,-0.109,0.384,-59.204,177.307,118.530
0.720,-0.046,0.295,-60.974,180.420,115.845
0.723,0.008,0.137,-63.110,182.068,111.389
0.732,0.071,-0.043,-62.439,181.702,106.384
0.739,0.115,-0.176,-60.730,175.659,101.257
0.747,-1.003,1.265,30.090,-96.069,-39.490
0.774,-1.007,1.351,18.921,-90.454,-28.198
0.770,-0.909,1.445,9.216,-83.496,-15.747
0.821,-0.973,1.375,7.202,-74.646,-9.094
0.823,-0.824,1.482,-49.927,-64.758,1.343
0.841,-0.749,1.381,-66.711,-48.157,7.019
0.815,-0.746,1.276,-46.997,-33.936,6.897
0.818,-0.631,1.236,-37.903,-23.804,11.353
0.809,-0.643,1.209,-30.334,-14.832,10.071
0.812,-0.730,1.126,-13.489,-5.737,6.592
0.811,-0.730,1.051,-6.165,0.366,9.949
0.811,-0.717,1.031,-6.897,3.601,14.465
0.794,-0.712,1.032,-11.108,6.836,17.700
0.776,-0.677,0.993,-14.404,12.085,21.423
0.779,-0.651,0.979,-13.611,16.724,23.987
0.765,-0.709,1.041,-7.568,19.592,24.780
0.755,-0.719,1.089,-0.488,25.574,28.015
0.762,-0.683,1.115,6.470,34.302,33.020
0.766,-0.705,1.148,11.353,43.457,35.583
0.752,-0.730,1.074,10.376,54.749,38.635
0.731,-0.682,0.954,4.639,65.002,44.739
0.708,-0.648,0.848,-2.625,69.824,49.683
0.675,-0.640,0.789,-8.606,70.557,52.551
0.651,-0.672,0.796,-13.550,69.214,55.054
0.635,-0.745,0.841,-17.639,67.566,57.861
0.609,-0.864,0.908,-21.851,66.589,61.951
0.627,-0.947,0.955,-30.823,66.711,69.763
0.638,-0.908,0.954,-45.898,68.604,81.909
0.602,-0.810,1.027,-56.213,70.557,94.910
0.579,-0.637,1.119,-58.044,75.623,105.286
0.567,-0.471,1.044,-62.256,88.135,109.680
0.550,-0.399,0.951,-64.697,100.159,107.178
0.543,-0.345,0.950,-61.462,106.812,102.966
0.537,-0.410,0.898,-59.204,114.746,97.595
0.532,-0.532,0.799,-61.157,122.986,93.384
0.599,-0.514,0.674,-65.491,128.357,96.985
0.648,-0.421,0.574,-72.205,130.188,102.722
0.685,-0.315,0.546,-76.538,129.822,106.262
0.728,-0.150,0.517,-75.317,131.165,107.483
0.750,0.000,0.491,-74.097,134.644,103.882
0.774,0.029,0.449,-69.946,139.221,93.323
0.766,0.002,0.343,-62.805,144.775,81.299
0.761,-0.021,0.198,-58.899,147.949,72.449
0.778,-0.076,0.130,-59.082,144.592,65.308
0.839,-0.132,0.069,-60.059,139.038,60.242
0.882,-0.188,0.040,-63.599,133.362,57.800
0.902,-0.158,0.071,-64.575,127.136,59.998
0.923,-0.046,0.065,-63.293,124.634,62.927
0.934,-0.001,0.072,-59.509,123.352,59.998
0.936,-0.012,0.079,-54.871,122.986,53.894
0.922,0.020,0.030,-50.110,124.695,49.866
0.915,0.049,-0.076,-47.974,126.709,45.776
0.912,0.009,-0.177,-47.546,125.183,39.856
0.917,-0.028,-0.248,-49.133,119.507,35.889
0.925,-0.088,-0.257,-52.429,111.084,34.973
0.933,-0.141,-0.239,-54.565,102.112,36.377
0.935,-0.092,-0.178,-55.176,94.421,41.565
0.922,-0.012,-0.089,-54.626,89.600,46.265
0.906,0.062,-0.030,-53.650,89.172,47.363
0.883,0.061,0.003,-51.270,92.224,44.617
0.848,0.074,-0.002,-47.546,97.412,41.382
0.819,0.151,-0.045,-42.114,103.943,39.795
0.792,0.183,-0.139,-36.377,109.680,35.645
0.797,0.177,-0.260,-33.752,112.976,29.297
0.861,0.197,-0.381,-32.959,111.511,24.292
1.006,0.186,-0.448,-36.316,106.262,19.470
1.132,0.182,-0.505,-39.429,100.830,16.724
1.014,0.062,-0.483,-36.987,95.642,17.090
0.844,-0.069,-0.386,-27.222,88.318,21.179
0.811,0.018,-0.277,-25.146,81.604,30.273
0.811,0.072,-0.060,-31.067,75.073,33.569
0.797,0.036,0.057,-34.851,77.942,31.311
0.780,0.102,-0.023,-33.997,90.942,32.166
0.778,0.179,-0.129,-29.968,101.074,31.250
0.797,0.237,-0.214,-25.757,105.957,27.039
0.831,0.229,-0.285,-23.560,108.459,20.264
0.845,0.173,-0.321,-21.240,108.093,14.038
0.849,0.136,-0.329,-19.043,105.713,10.864
0.840,0.113,-0.355,-19.531,103.516,10.071
0.835,0.092,-0.393,-23.926,100.891,10.498
0.819,0.082,-0.412,-29.541,96.924,11.902
0.798,0.071,-0.405,-34.241,92.712,13.672
0.800,0.051,-0.382,-38.086,89.355,15.076
0.818,0.036,-0.387,-41.321,87.585,15.991
0.831,0.025,-0.398,-43.640,87.219,17.395
0.821,0.019,-0.416,-43.579,87.036,19.287
0.814,0.016,-0.430,-42.480,87.158,20.996
0.813,0.024,-0.431,-39.307,86.731,22.278
0.810,0.047,-0.427,-35.217,86.243,23.071
0.793,0.064,-0.439,-31.921,87.036,23.560
0.781,0.063,-0.491,-30.701,87.891,23.621
0.778,0.060,-0.534,-34.058,86.304,24.658
0.770,0.045,-0.524,-40.527,81.726,26.245
0.761,0.071,-0.450,-47.546,77.515,29.236
0.750,0.105,-0.404,-52.307,77.698,31.433
0.741,0.123,-0.436,-55.298,82.153,31.006
0.722,0.133,-0.446,-55.115,85.571,29.175
0.708,0.128,-0.473,-51.208,89.050,26.489
0.700,0.110,-0.495,-46.265,92.407,23.926
0.692,0.059,-0.504,-41.382,94.971,21.545
0.675,0.013,-0.550,-37.781,98.022,20.813
0.661,0.046,-0.618,-34.180,100.647,23.499
0.646,0.034,-0.673,-33.142,100.098,25.696
0.620,0.042,-0.706,-35.461,97.656,27.588
0.603,0.124,-0.697,-38.269,94.055,31.128
0.587,0.189,-0.688,-41.504,91.980,30.823
0.581,0.166,-0.722,-43.091,91.553,26.062
0.567,0.121,-0.748,-45.227,91.248,21.057
0.568,0.129,-0.718,-41.687,89.844,18.982
0.562,0.058,-0.735,-34.668,90.759,15.198
0.543,0.001,-0.774,-31.006,93.018,13.245
0.531,0.020,-0.792,-25.818,93.323,15.808
0.521,0.028,-0.839,-24.292,94.177,17.883
0.505,0.071,-0.908,-23.682,94.055,20.386
0.486,0.118,-0.940,-22.095,91.003,21.362
0.471,0.098,-0.943,-22.461,86.548,19.836
0.455,0.119,-0.948,-24.109,83.008,19.409
0.449,0.141,-0.937,-26.184,79.834,18.860
0.438,0.110,-0.924,-25.696,77.393,15.808
0.555,-1.202,1.421,45.776,-153.076,-18.860
0.699,-1.064,1.640,36.133,-148.071,7.690
0.864,-0.927,1.880,31.494,-140.015,27.405
1.035,-0.849,2.229,30.212,-130.737,39.795
1.149,-0.917,2.563,24.719,-114.807,49.805
1.188,-0.746,2.593,12.024,-84.656,69.824
1.155,-0.254,2.293,-9.277,-46.326,95.215
1.045,0.133,1.982,-34.302,-17.151,107.056
0.930,0.474,1.664,-53.162,3.296,104.187
0.864,0.730,1.406,-62.561,20.325,91.125
0.802,0.785,1.121,-61.829,35.278,66.711
0.766,0.688,0.831,-52.979,48.706,37.842
0.746,0.545,0.599,-40.344,55.969,11.658
0.747,0.298,0.333,-26.794,59.937,-10.010
0.772,0.017,0.163,-16.663,55.420,-25.391
0.798,-0.156,0.111,-10.742,45.105,-30.457
0.838,-0.241,0.132,-5.554,33.386,-29.419
0.875,-0.316,0.184,-2.747,22.766,-27.039
0.903,-0.383,0.271,-0.549,14.160,-23.254
0.929,-0.399,0.371,3.479,7.874,-18.066
0.960,-0.383,0.466,7.996,3.967,-12.390
0.966,-0.340,0.510,11.230,3.479,-7.385
0.970,-0.298,0.552,11.353,4.028,-3.662
0.968,-0.278,0.550,8.545,5.981,-1.709
0.967,-0.214,0.528,4.700,7.751,0.427
0.960,-0.173,0.557,1.953,7.507,2.075
0.952,-0.146,0.581,-0.183,8.240,2.441
0.933,-0.152,0.570,-1.404,11.108,1.587
0.918,-0.126,0.562,-2.563,13.428,1.770
0.907,-0.121,0.524,-4.944,15.625,1.648
0.904,-0.108,0.507,-7.812,16.724,1.282
0.893,-0.079,0.522,-10.071,16.968,1.282
0.883,-0.059,0.505,-10.437,18.616,0.549
0.864,-0.088,0.499,-9.766,20.203,-1.465
0.850,-0.114,0.457,-10.132,21.545,-2.686
0.837,-0.131,0.432,-10.193,21.912,-2.930
0.841,-0.134,0.438,-10.315,20.813,-2.319
0.841,-0.116,0.434,-10.620,20.569,-1.587
0.843,-0.093,0.370,-10.376,21.606,-0.854
0.852,-0.103,0.390,-9.888,19.714,-1.343
0.854,-0.118,0.397,-8.850,18.188,-1.709
0.855,-0.123,0.396,-7.996,18.005,-1.831
0.862,-0.150,0.417,-7.812,17.029,-2.197
0.868,-0.186,0.450,-8.423,16.113,-2.441
0.876,-0.206,0.534,-8.423,15.137,-1.648
0.891,-0.191,0.633,-8.850,15.503,-0.061
